,our_id,source,RA,Dec
540,200129_540,GLADE,310.222076,28.065096
541,200129_541,GLADE,309.462738,27.043072
542,200129_542,GLADE,309.449341,25.136122
543,200129_543,GLADE,320.541138,1.447743
544,200129_544,GLADE,320.507812,1.161355
545,200129_545,GLADE,317.866547,8.011378
546,200129_546,GLADE,317.875397,11.311934
547,200129_547,GLADE,318.288727,8.761975999999999
548,200129_548,GLADE,318.26889,7.986418
549,200129_549,GLADE,318.2886660000001,6.751699
550,200129_550,GLADE,318.446747,7.242096000000001
551,200129_551,GLADE,314.650757,15.192955
552,200129_552,GLADE,314.653198,14.144345
553,200129_553,GLADE,314.764709,13.153316
554,200129_554,GLADE,314.845032,16.910547
555,200129_555,GLADE,314.947479,17.881155
556,200129_556,GLADE,314.95639,15.251987
557,200129_557,GLADE,314.949524,14.228378
558,200129_558,GLADE,319.88562,4.409552
559,200129_559,GLADE,319.9133,5.2489940000000015
560,200129_560,GLADE,306.17572,30.379183
561,200129_561,GLADE,307.052155,30.573664
562,200129_562,GLADE,307.006927,30.525091
563,200129_563,GLADE,313.84436,15.418167
564,200129_564,GLADE,313.891113,16.694439000000006
565,200129_565,GLADE,313.970062,15.46168
566,200129_566,GLADE,315.06369,11.980658
567,200129_567,GLADE,315.103699,12.08261
568,200129_568,GLADE,315.050232,12.245653
569,200129_569,GLADE,315.106812,12.252055
570,200129_570,GLADE,315.018402,12.278141
571,200129_571,GLADE,315.1087950000001,12.287889
572,200129_572,GLADE,315.113159,14.155944
573,200129_573,GLADE,315.100128,15.335942
574,200129_574,GLADE,315.056366,15.2526
575,200129_575,GLADE,315.066956,16.574270000000002
576,200129_576,GLADE,319.6977540000001,-1.28954
577,200129_577,GLADE,308.769806,29.685318
578,200129_578,GLADE,308.849335,29.170889000000006
579,200129_579,GLADE,308.8278200000001,28.278389
580,200129_580,GLADE,308.773285,26.580318
581,200129_581,GLADE,308.77359,26.058374
582,200129_582,GLADE,308.798004,26.107826
583,200129_583,GLADE,315.225708,17.700108
584,200129_584,GLADE,315.2180180000001,13.312334
585,200129_585,GLADE,315.164032,12.130953
586,200129_586,GLADE,309.337921,26.257431
587,200129_587,GLADE,309.656677,28.64517
588,200129_588,GLADE,312.098755,21.449831
589,200129_589,GLADE,312.424011,23.634336
590,200129_590,GLADE,312.38562,21.921562
591,200129_591,GLADE,312.504456,18.742632
592,200129_592,GLADE,312.482452,21.662073
593,200129_593,GLADE,312.493225,22.871243
594,200129_594,GLADE,312.440247,22.736502
595,200129_595,GLADE,312.586334,23.942249
596,200129_596,GLADE,312.677307,21.509739
597,200129_597,GLADE,312.584991,20.256691
598,200129_598,GLADE,312.628479,19.599751
599,200129_599,GLADE,312.548737,19.226404
600,200129_600,GLADE,312.705505,21.308132
601,200129_601,GLADE,312.91153,23.284748
602,200129_602,GLADE,312.823242,22.123343
603,200129_603,GLADE,312.861908,22.115856
604,200129_604,GLADE,316.842651,4.718714
605,200129_605,GLADE,319.277588,7.984236
606,200129_606,GLADE,319.995911,-1.067397
607,200129_607,GLADE,317.8862,12.195362
608,200129_608,GLADE,307.607361,30.611849
609,200129_609,GLADE,307.617706,30.934389000000003
610,200129_610,GLADE,307.713898,31.04637
611,200129_611,GLADE,307.625885,32.60273
612,200129_612,GLADE,307.883026,31.904913
613,200129_613,GLADE,308.012573,31.304914
614,200129_614,GLADE,307.925232,31.815432
