,our_id,RA,Dec
4625,200129_6270,309.64252210000006,26.11120092
4626,200129_6271,309.3320836000001,26.29171796
4627,200129_6272,309.2089454,26.29987828
4628,200129_6273,309.9563276,26.3365156
4629,200129_6274,309.8317989,26.11096706
4630,200129_6275,309.9084148,26.36511145
4631,200129_6276,309.2402247,26.37600923
4632,200129_6277,309.2536223,26.11439037
4633,200129_6278,309.2755346,26.38048389
4634,200129_6279,309.9496747,26.15760534
4635,200129_6280,309.5607798,26.06541921
4636,200129_6281,309.4682662,26.14446319
4637,200129_6282,309.1949248,26.23638695
4638,200129_6283,308.9314025,26.2665438
4639,200129_6284,309.8643465,26.03880724
4640,200129_6285,308.6360355,26.33914604
4641,200129_6286,309.2447051000001,26.28710355
4642,200129_6287,309.6987307,26.18668784
4643,200129_6288,309.3285532,26.205524
4644,200129_6289,308.6212585,26.22156004
4645,200129_6290,308.8630596000001,26.25812996
4646,200129_6291,309.91981489999995,26.30103305
4647,200129_6292,309.4964561000001,26.21942151
4648,200129_6293,309.6031452000001,26.34210581
4649,200129_6294,308.8204394,26.37314117
4650,200129_6295,309.1896157,26.21259847
4651,200129_6296,309.9554649,26.05481146
4652,200129_6297,309.0080705000001,26.30817125
4653,200129_6298,309.8358771,26.11504956
4654,200129_6299,308.97313189999994,26.36780348
4655,200129_6300,308.9930372,26.15107332
4656,200129_6301,308.68159,26.389379
4657,200129_6302,308.7426907,26.18970065
4658,200129_6303,309.37337169999995,26.11720495
4659,200129_6304,309.5059632,26.21861862
4660,200129_6305,309.6195522,26.26835267
4661,200129_6306,309.8712166,26.12050515
4662,200129_6307,309.838339,26.34896535
4663,200129_6308,308.7787128,26.18063278
4664,200129_6309,309.9616025,26.19244696
4665,200129_6310,309.4254155,26.23440814
4666,200129_6311,309.8329379,26.05723595
4667,200129_6312,309.709831,26.08691096
4668,200129_6313,309.9019474,26.15606812
4669,200129_6314,309.4905622,26.09704245
4670,200129_6315,309.2243347,26.17852499
4671,200129_6316,309.41009469999995,26.39782758
4672,200129_6317,309.7449139,26.12624309
4673,200129_6318,308.9380142,26.38538889
4674,200129_6319,309.1089713,26.39569126
4675,200129_6320,309.9678115000001,26.09813941
4676,200129_6321,309.0726095,26.13233404
4677,200129_6322,309.8863104,26.38688077
4678,200129_6323,309.3031094,26.36955771
4679,200129_6324,308.9891498,26.05857657
4680,200129_6325,308.56390639999995,26.10440023
4681,200129_6326,309.31140110000007,26.14618386
4682,200129_6327,309.1266267,26.21473384
4683,200129_6328,309.19485469999995,26.23604633
4684,200129_6329,308.938759,26.32250998
4685,200129_6330,309.8032563,26.21571698
4686,200129_6331,309.8377897,26.10333178
4687,200129_6332,309.8151338,26.29455894
4688,200129_6333,309.917701,26.31776356
4689,200129_6334,308.8348882,26.32872237
4690,200129_6335,309.5847789,26.21089275
4691,200129_6336,308.691034,26.31955402
4692,200129_6337,308.8209162,26.23995301
4693,200129_6338,309.0426818,26.32660563
4694,200129_6339,308.7887438,26.37383948
4695,200129_6340,308.8078626,26.35473182
4696,200129_6341,309.9371947,26.40488253
4697,200129_6342,309.53369,26.25770867
4698,200129_6343,309.4950898,26.30973874
4699,200129_6344,309.5213505,26.38029073
4700,200129_6345,308.9137048,26.37008493
4701,200129_6346,309.4218565,26.20368208
4702,200129_6347,309.1278353,26.40564009
4703,200129_6348,309.25622789999994,26.10345282
4704,200129_6349,309.6970124,26.18810412
4705,200129_6350,309.86218439999993,26.24979136
4706,200129_6351,309.7766457,26.30377974
4707,200129_6352,308.981227,26.31015067
4708,200129_6353,309.6753391000001,26.38776857
4709,200129_6354,309.1294622,26.40147639
4710,200129_6355,309.267939,26.40454357
4711,200129_6356,309.3513166,26.20473835
4712,200129_6357,309.2799133,26.27162052
4713,200129_6358,309.0737417,26.26698209
4714,200129_6359,309.3214028,26.37592048
4715,200129_6360,309.034887,26.23030008
4716,200129_6361,308.87554910000006,26.29815022
4717,200129_6362,309.3059409,26.21511575
4718,200129_6363,309.3823624,26.32336263
4719,200129_6364,308.6940705,26.16914187
4720,200129_6365,309.6532766,26.17699542
4721,200129_6366,309.9282671,26.31274693
4722,200129_6367,308.6688571,26.40256948
4723,200129_6368,309.2870914,26.39939609
4724,200129_6369,308.5977106,26.42018911
4725,200129_6370,309.5385265,26.20839388
4726,200129_6371,309.9922607,26.02154716
4727,200129_6372,309.0964165000001,26.03359684
4728,200129_6373,309.3992503,26.03713341
4729,200129_6374,309.00938219999995,26.12308388
